hex_id,hex_code
8849805949fffff,HEX-00001
884980594dfffff,HEX-00002
8849805b21fffff,HEX-00003
8849805b23fffff,HEX-00004
8849805b25fffff,HEX-00005
8849805b27fffff,HEX-00006
8849805b29fffff,HEX-00007
8849805b2dfffff,HEX-00008
8849805b65fffff,HEX-00009
8849805b67fffff,HEX-00010
8849820049fffff,HEX-00011
8849820059fffff,HEX-00012
884982005bfffff,HEX-00013
8849820201fffff,HEX-00014
8849820203fffff,HEX-00015
8849820205fffff,HEX-00016
8849820207fffff,HEX-00017
8849820209fffff,HEX-00018
884982020bfffff,HEX-00019
884982020dfffff,HEX-00020
8849820211fffff,HEX-00021
8849820213fffff,HEX-00022
8849820215fffff,HEX-00023
8849820217fffff,HEX-00024
8849820219fffff,HEX-00025
884982021bfffff,HEX-00026
884982021dfffff,HEX-00027
8849820221fffff,HEX-00028
8849820223fffff,HEX-00029
8849820225fffff,HEX-00030
8849820227fffff,HEX-00031
8849820229fffff,HEX-00032
884982022bfffff,HEX-00033
884982022dfffff,HEX-00034
8849820231fffff,HEX-00035
8849820233fffff,HEX-00036
8849820235fffff,HEX-00037
8849820237fffff,HEX-00038
8849820239fffff,HEX-00039
884982023bfffff,HEX-00040
884982023dfffff,HEX-00041
8849820241fffff,HEX-00042
8849820243fffff,HEX-00043
8849820245fffff,HEX-00044
8849820247fffff,HEX-00045
8849820249fffff,HEX-00046
884982024bfffff,HEX-00047
884982024dfffff,HEX-00048
8849820251fffff,HEX-00049
8849820253fffff,HEX-00050
8849820255fffff,HEX-00051
8849820257fffff,HEX-00052
8849820259fffff,HEX-00053
884982025bfffff,HEX-00054
884982025dfffff,HEX-00055
8849820261fffff,HEX-00056
8849820263fffff,HEX-00057
8849820265fffff,HEX-00058
8849820267fffff,HEX-00059
8849820269fffff,HEX-00060
884982026bfffff,HEX-00061
884982026dfffff,HEX-00062
8849820281fffff,HEX-00063
8849820283fffff,HEX-00064
8849820285fffff,HEX-00065
8849820287fffff,HEX-00066
8849820289fffff,HEX-00067
884982028bfffff,HEX-00068
884982028dfffff,HEX-00069
8849820291fffff,HEX-00070
8849820295fffff,HEX-00071
8849820299fffff,HEX-00072
884982029dfffff,HEX-00073
88498202a1fffff,HEX-00074
88498202a3fffff,HEX-00075
88498202a9fffff,HEX-00076
88498202abfffff,HEX-00077
88498202adfffff,HEX-00078
88498202b1fffff,HEX-00079
88498202b5fffff,HEX-00080
88498202b7fffff,HEX-00081
88498202b9fffff,HEX-00082
88498202bbfffff,HEX-00083
88498202bdfffff,HEX-00084
88498202c1fffff,HEX-00085
88498202c3fffff,HEX-00086
88498202c5fffff,HEX-00087
88498202c7fffff,HEX-00088
88498202c9fffff,HEX-00089
88498202cbfffff,HEX-00090
88498202cdfffff,HEX-00091
88498202d1fffff,HEX-00092
88498202d3fffff,HEX-00093
88498202d5fffff,HEX-00094
88498202d7fffff,HEX-00095
88498202d9fffff,HEX-00096
88498202dbfffff,HEX-00097
88498202ddfffff,HEX-00098
88498202e1fffff,HEX-00099
88498202e3fffff,HEX-00100
88498202e5fffff,HEX-00101
88498202e7fffff,HEX-00102
88498202e9fffff,HEX-00103
88498202ebfffff,HEX-00104
88498202edfffff,HEX-00105
8849820301fffff,HEX-00106
8849820303fffff,HEX-00107
8849820305fffff,HEX-00108
